occupation_code,outcome_label,n,share,total_n
999993,Avoidable,378019,0.6076264538902213,622124
999993,Ill-defined,36337,0.05840797011528248,622124
999993,Non-avoidable,207768,0.3339655759944963,622124
999992,Avoidable,265249,0.6106761090633656,434353
999992,Ill-defined,17805,0.040992004199349376,434353
999992,Non-avoidable,151299,0.3483318867372851,434353
621005,Avoidable,90553,0.7010862412028399,129161
621005,Ill-defined,8774,0.06793072212200277,129161
621005,Non-avoidable,29834,0.23098303667515735,129161
622020,Avoidable,86748,0.685159150146118,126610
622020,Ill-defined,7284,0.05753100071084433,126610
622020,Non-avoidable,32578,0.25730984914303767,126610
354705,Avoidable,69238,0.6478166899016645,106879
354705,Ill-defined,4912,0.04595851383340039,106879
354705,Non-avoidable,32729,0.3062247962649351,106879
715210,Avoidable,75034,0.7038638687466582,106603
715210,Ill-defined,6281,0.05891954260199056,106603
715210,Non-avoidable,25288,0.23721658865135128,106603
999994,Avoidable,52316,0.6641530512498255,78771
999994,Ill-defined,7240,0.09191199807035584,78771
999994,Non-avoidable,19215,0.2439349506798187,78771
512105,Avoidable,52272,0.6712898751733704,77868
512105,Ill-defined,3664,0.047053988801561614,77868
512105,Non-avoidable,21932,0.28165613602506806,77868
999991,Avoidable,46102,0.7379271708683474,62475
999991,Ill-defined,3031,0.04851540616246498,62475
999991,Non-avoidable,13342,0.21355742296918767,62475
141410,Avoidable,31378,0.5900449425525113,53179
141410,Ill-defined,1720,0.03234359427593599,53179
141410,Non-avoidable,20081,0.3776114631715527,53179
998999,Avoidable,28549,0.6137062275629313,46519
998999,Ill-defined,2559,0.05500978094971947,46519
998999,Non-avoidable,15411,0.33128399148734927,46519
782305,Avoidable,24852,0.6158497298904694,40354
782305,Ill-defined,1505,0.03729493978292115,40354
782305,Non-avoidable,13997,0.3468553303266095,40354
612005,Avoidable,25067,0.6799121189107085,36868
612005,Ill-defined,2165,0.058723011825973746,36868
612005,Non-avoidable,9636,0.26136486926331776,36868
622005,Avoidable,21912,0.684407796101949,32016
622005,Ill-defined,1504,0.04697651174412794,32016
622005,Non-avoidable,8600,0.26861569215392306,32016
717020,Avoidable,23412,0.7941116613526897,29482
717020,Ill-defined,1651,0.056000271352011396,29482
717020,Non-avoidable,4419,0.14988806729529883,29482
521110,Avoidable,18124,0.6210677815091494,29182
521110,Ill-defined,1265,0.043348639572339115,29182
521110,Non-avoidable,9793,0.3355835789185114,29182
513205,Avoidable,14172,0.6223978919631094,22770
513205,Ill-defined,908,0.03987703118137901,22770
513205,Non-avoidable,7690,0.3377250768555116,22770
517330,Avoidable,14210,0.6276779009673572,22639
517330,Ill-defined,1010,0.04461327797164186,22639
517330,Non-avoidable,7419,0.3277088210610009,22639
782510,Avoidable,14119,0.6338211528101994,22276
782510,Ill-defined,810,0.03636200395043993,22276
782510,Non-avoidable,7347,0.3298168432393607,22276
512120,Avoidable,12885,0.6301657944930796,20447
512120,Ill-defined,925,0.0452389103535971,20447
512120,Non-avoidable,6637,0.32459529515332325,20447
