age_group,outcome_label,n,share
5-14,Avoidable,10586,0.6387883176442192
5-14,Ill-defined,888,0.05358435916002897
5-14,Non-avoidable,5098,0.30762732319575187
15-24,Avoidable,113299,0.8260292648785005
15-24,Ill-defined,5974,0.043554654748798854
15-24,Non-avoidable,17888,0.1304160803727007
25-34,Avoidable,141067,0.7553788487282463
25-34,Ill-defined,9878,0.052894243641231596
25-34,Non-avoidable,35805,0.19172690763052208
35-44,Avoidable,187016,0.6548385628398654
35-44,Ill-defined,16755,0.05866781516224251
35-44,Non-avoidable,81820,0.2864936219978921
45-54,Avoidable,287511,0.6172373299442039
45-54,Ill-defined,25812,0.055413984023288815
45-54,Non-avoidable,152480,0.32734868603250733
55-64,Avoidable,479931,0.6073592147741121
55-64,Ill-defined,39142,0.04953473391943487
55-64,Non-avoidable,271120,0.343106051306453
65-74,Avoidable,661700,0.6100669810581439
65-74,Ill-defined,49570,0.04570201035371346
65-74,Non-avoidable,373365,0.34423100858814254
